,voyage_name,voyage_start_time,voyage_start_lat,voyage_start_lon,voyage_end_time,voyage_end_lat,voyage_end_lon,invest_time,lat,lon,item_class,item_kind,size_sign,distance,debris_number,debris_color,observer_no,observer_name,time_zone,recorder,record_place,eye_level,course,speed,weather,wind_direction_type,wind_direction,wind_velocity_type,wind_velocity,sea_conditions,glare_type,glare,remarks,platform,terminal_id,camera_filename
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:01:33,34.38394999,130.8045834,流れ藻,SW,L,10～15,1,緑,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:04:58,34.39181666,130.8156667,潮目,?,?,?,?,?,,?,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:05:08,34.39181666,130.8156667,流れ藻,SW,S,25～30,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:05:29,34.39296666,130.8172167,流れ藻,SW,S,10～15,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:07:51,34.3983667,130.8249833,流れ藻,SW,M,5～10,1,茶,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:08:23,34.39944997,130.82655,流木,DW,S,20～25,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:10:35,34.40383337,130.8325333,その他 人工物,UO,SS,10～15,1,白,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:19:25,34.42286666,130.8602833,その他 天然物,NO,SS,15～20,4,白,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:20:38,34.42493331,130.86345,流れ藻,SW,S,15～20,1,茶,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:24:03,34.43241667,130.8745334,流れ藻,SW,L,5～10,1,黄,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:24:48,34.43459999,130.8776833,その他 プラスチック製品,PC,SS,～5,1,白,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:25:09,34.43459999,130.8776833,流れ藻,SW,S,～5,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:25:19,34.43566667,130.8793167,流れ藻,SW,S,5～10,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:25:47,34.43671667,130.8809,流れ藻,SW,S,10～15,2,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:26:00,34.43671667,130.8809,流れ藻,SW,M,10～15,2,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:26:13,34.43774999,130.8824166,流れ藻,SW,S,15～20,2,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:26:25,34.43774999,130.8824166,流れ藻,SW,M,5～10,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:26:41,34.43774999,130.8824166,流れ藻,SW,S,5～10,1,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:26:54,34.43885003,130.8838833,流れ藻,SW,L,5～10,2,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:27:25,34.43996667,130.8854167,流れ藻,SW,L,5～10,1,茶,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:27:38,34.43996667,130.8854167,流れ藻,SW,S,10～15,2,茶,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:32:22,34.45113329,130.9008334,流れ藻,SW,S,5～10,1,黄,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:33:32,34.45338333,130.9038333,潮目,?,?,?,?,?,,?,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:34:04,34.45448337,130.9054,その他 人工物,UO,M,5～10,1,橙,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:34:31,34.45558333,130.90695,その他 プラスチック製品,PC,SS,5～10,1,白,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:34:44,34.45558333,130.90695,レジ袋,PBA,S,10～15,1,白,,大嶽,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:34:52,34.45669997,130.9084333,食品包装材,FP,S,10～15,1,白,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:35:04,34.45669997,130.9084333,その他 プラスチック製品,PC,SS,15～20,1,白,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
1,神鷹20150718,2015/07/18-10:00:00,34.38095,130.8004833,2015/07/18-18:00:00,35.33371667,132.037,2015/7/18- 10:36:37,34.46001668,130.9131333,レジ袋,PBA,S,20～25,1,白,,村田,,大嶽,左舷,,,,,,,,,,,,,,,
